Member,Values,Condition
1281.004,129,Below
1281.004,134,Below
1281.004,139,Below
1281.004,144,Below
1281.004,149,Below
1281.005,40,Above
1281.005,45,Above
1281.005,158,Below
1281.006,68,Below
1281.006,73,Below
1281.006,78,Below
1281.006,129,Below
1281.006,134,Below
1281.006,139,Below
1281.006,152,Below
1281.007,40,Above
1281.007,62,Below
1281.007,67,Below
1281.007,72,Below
1281.007,77,Below
1281.007,115,Below
1281.007,120,Below
1281.007,125,Below
1281.007,130,Below
1281.007,151,Above
1281.007,156,Above
1281.008,40,Above
1281.008,45,Above
1281.008,157,Below
1281.009,40,Above
1281.009,45,Above
1281.009,50,Above
1281.009,55,Above
1281.009,78,Below
1281.009,83,Below
1281.009,90,Below
1281.009,95,Below
1281.009,100,Below
1281.009,105,Below
1281.009,110,Below
1281.009,115,Below
1281.009,120,Below
1281.010,56,Above
1281.010,61,Above
1281.010,66,Above
1281.010,101,Below
1281.010,106,Below
1281.010,119,Above
1281.010,124,Above
1281.010,129,Above
1281.011,40,Above
1281.011,45,Above
1281.011,50,Above
1281.011,64,Below
1281.011,69,Below
1281.011,74,Below
1281.011,79,Below
1281.011,93,Above
1281.011,98,Above
1281.011,103,Above
1281.011,150,Below
1281.011,155,Below
1281.011,160,Below
1281.013,40,Above
1281.013,90,Above
1281.013,95,Above
1281.013,100,Above
1281.013,105,Above
1281.013,110,Above
1281.013,127,Above
1281.013,132,Above
1281.013,137,Above
1281.013,142,Above
1281.014,40,Above
1281.014,86,Above
1281.014,127,Below
1281.014,132,Below
1281.014,137,Below
1281.015,98,Above
1281.015,103,Above
1281.015,108,Above
1281.015,113,Above
1281.015,133,Above
1281.015,138,Above
1281.016,49,Below
1281.016,54,Below
1281.016,59,Below
1281.016,64,Below
1281.016,69,Below
1281.016,74,Below
1281.016,79,Below
1281.016,90,Above
1281.016,95,Above
1281.016,100,Above
1281.016,105,Above
1281.016,110,Above
1281.016,115,Above
1281.017,40,Above
1281.017,45,Above
1281.017,50,Above
1281.017,55,Above
1281.017,117,Above
1281.017,122,Above
1281.017,127,Above
1281.017,132,Above
1281.017,137,Above
1281.017,159,Below
1281.018,48,Below
1281.018,53,Below
1281.018,58,Below
1281.018,63,Below
1281.018,124,Above
1281.018,129,Above
1281.018,134,Above
1281.018,139,Above
1281.018,156,Below
1281.019,40,Above
1281.019,45,Above
1281.019,50,Above
1281.019,94,Below
1281.019,99,Below
1281.019,104,Below
1281.019,109,Below
1281.019,131,Above
1281.019,136,Above
1281.019,141,Above
1281.019,146,Above
1281.019,151,Above
1281.020,49,Below
1281.020,54,Below
1281.020,59,Below
1281.020,72,Above
1281.020,77,Above
1281.020,82,Above
1281.020,87,Above
1281.020,92,Above
1281.020,97,Above
1281.020,102,Above
1281.020,107,Above
1281.020,112,Above
1301.001,54,Above
1301.001,59,Above
1301.001,64,Above
1301.001,69,Above
1301.001,74,Above
1301.001,79,Above
1301.001,84,Above
1301.001,112,Below
1301.001,117,Below
1301.001,122,Below
1301.001,127,Below
1301.001,132,Below
1301.001,137,Below
1301.001,142,Below
1301.001,156,Above
1301.002,54,Below
1301.002,59,Below
1301.002,64,Below
1301.002,69,Below
1301.003,50,Below
1301.003,55,Below
1301.003,60,Below
1301.003,65,Below
1301.003,80,Above
1301.003,85,Above
1301.003,90,Above
1301.003,106,Above
1301.003,123,Below
1301.003,128,Below
1301.003,133,Below
1301.003,140,Below
1301.003,145,Below
1301.004,59,Below
1301.004,64,Below
1301.004,69,Below
1301.004,81,Above
1301.004,86,Above
1301.004,91,Above
1301.004,96,Above
1301.004,120,Below
1301.004,125,Below
1301.004,130,Below
1301.004,135,Below
1301.005,48,Above
1301.005,53,Above
1301.005,58,Above
1301.005,63,Above
1301.006,40,Above
1301.006,45,Above
1301.006,115,Below
1301.006,120,Below
1301.006,125,Below
1301.006,130,Below
1301.006,135,Below
1301.006,140,Below
1301.006,145,Below
1301.006,150,Below
1301.007,49,Below
1301.007,54,Below
1301.007,59,Below
1301.007,64,Below
1301.007,81,Below
1301.007,86,Below
1301.007,91,Below
1301.007,118,Above
1301.007,123,Above
1301.007,128,Above
1301.007,133,Above
1301.008,43,Below
1301.008,48,Below
1301.008,64,Above
1301.008,69,Above
1301.008,92,Above
1301.008,97,Above
1301.008,102,Above
1301.008,107,Above
1301.008,128,Below
1301.008,133,Below
1301.009,58,Below
1301.009,63,Below
1301.009,68,Below
1301.010,40,Above
1301.010,66,Above
1301.010,71,Above
1301.010,105,Below
1301.010,110,Below
1301.010,153,Below
1301.010,158,Below
